CD_SETOR,CD_QUADRA,CD_FACE,NM_TIP_LOG,NM_TIT_LOG,NM_LOG,TOT_RES,TOT_GERAL
"352940105000020","001","001",RUA,,FRANCISCO ORTEGA ESCOBAR,"0","0"
"352940105000020","001","002",RUA,,JOSE MORALES MARTINS,"1","1"
"352940105000020","001","004",RUA,,FRANCISCO ORTEGA ESCOBAR,"0","0"
"352940105000020","001","005",RUA,,MARIO AGOSTINHO BEDESHI,"0","0"
"352940105000020","001","006",RUA,,MARIO AGOSTINHO BEDESHI,"2","2"
"352940105000020","001","007",RUA,,ANTONIO BOAVENTURA,"3","3"
"352940105000020","001","008",RUA,,JOSE CESARIO MENDES,"4","4"
"352940105000020","001","009",RUA,,JOSE CESARIO MENDES,"13","13"
"352940105000020","001","010",RUA,,FRANCISCO ORTEGA ESCOBAR,"4","6"
"352940105000020","001","011",RUA,,NELSON BARBOSA FERREIRA,"10","11"
"352940105000020","001","013",RUA,,NELSON BARBOSA FERREIRA,"8","9"
"352940105000020","001","014",RUA,,FRANCISCO ORTEGA ESCOBAR,"3","5"
"352940105000020","001","015",AVENIDA,,QUEIROZ PEDROSO,"110","111"
"352940105000020","001","021",AVENIDA,,QUEIROZ PEDROSO,"0","0"
"352940105000020","001","023",AVENIDA,PAPA,JOAO XXIII,"0","0"
"352940105000020","002","002",RUA,,JOSE MORALES MARTINS,"5","5"
"352940105000020","002","003",RUA,,FRANCISCO ORTEGA ESCOBAR,"3","4"
"352940105000020","003","001",RUA,,JOSE CESARIO MENDES,"1","1"
"352940105000020","003","002",RUA,,ANTONIO BOAVENTURA,"7","7"
"352940105000020","003","003",RUA,,MARIO AGOSTINHO BEDESHI,"4","4"
"352940105000020","003","004",RUA,,FRANCISCO ORTEGA ESCOBAR,"6","6"
"352940105000020","006","002",AVENIDA,PAPA,JOAO XX111,"0","1"
"352940105000021","002","001",RUA,MARECHAL,DEODORO DA FONSECA,"27","27"
"352940105000021","002","002",RUA,VICE,PRESIDENTE URBANO SANTOS DA COSTA ARAUJO,"3","3"
"352940105000021","002","003",RUA,PRESIDENTE,FRANCISCO ALVARO DE PAIVA,"25","26"
"352940105000021","003","001",RUA,MARECHAL,DEODORO DA FONSECA,"5","5"
"352940105000021","003","002",RUA,PRESIDENTE,FRANCISCO ALVARO DE PAIVA,"15","15"
"352940105000021","003","003",RUA,VICE,PRESIDENTE URBANO SANTOS DA COSTA ARAUJO,"4","4"
"352940105000021","003","004",RUA,VICE PRESIDENTE,FRANCISCO SILVIANO ALVES BRANDAO,"14","15"
